Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Total Revenue
2022-01-01,South America,CRM,Partner,Business,7723.0,16.0,793.0,Yes,123568.0
2022-01-02,Australia,DevTools,Partner,Consumer,8681.0,15.0,725.0,Yes,130215.0
2022-01-03,Asia,DevTools,Partner,Consumer,5240.0,8.0,587.0,No,41920.0
2022-01-04,Australia,Database,Partner,Business,9933.0,15.0,1810.0,Yes,148995.0
2022-01-05,Australia,CRM,Online,Consumer,215.0,1.0,933.0,Yes,215.0
2022-01-06,Europe,Database,Direct Sales,Consumer,3066.0,17.0,935.0,Yes,52122.0
2022-01-07,Asia,CRM,Online,Consumer,6269.0,15.0,809.0,No,94035.0
2022-01-08,Asia,Database,Direct Sales,Consumer,4746.0,14.0,1213.0,No,66444.0
2022-01-09,Asia,DevTools,Online,Business,1254.0,14.0,1271.0,Yes,17556.0
2022-01-10,Australia,DevTools,Partner,Consumer,3741.0,10.0,812.0,Yes,37410.0
2022-01-11,South America,Antivirus,Partner,Business,352.0,2.0,1413.0,No,704.0
2022-01-12,Asia,ERP,Direct Sales,Consumer,6463.0,6.0,1584.0,No,38778.0
2022-01-13,Australia,Database,Direct Sales,Business,8938.0,17.0,1061.0,No,151946.0
2022-01-14,Europe,Antivirus,Online,Consumer,8860.0,5.0,1378.0,No,44300.0
2022-01-15,South America,ERP,Direct Sales,Business,7025.0,5.0,1253.0,Yes,35125.0
2022-01-16,Europe,Database,Online,Consumer,4711.0,15.0,793.0,No,70665.0
2022-01-17,South America,CRM,Direct Sales,Business,5169.0,15.0,1595.0,Yes,77535.0
2022-01-18,Australia,ERP,Direct Sales,Consumer,1455.0,11.0,1702.0,No,16005.0
2022-01-19,North America,DevTools,Direct Sales,Consumer,3476.0,5.0,1473.0,Yes,17380.0
2022-01-20,South America,Antivirus,Partner,Business,1959.0,1.0,986.0,No,1959.0
2022-01-21,Europe,ERP,Partner,Business,8230.0,11.0,1890.0,No,90530.0
2022-01-22,Australia,ERP,Online,Business,9156.0,11.0,1183.0,No,100716.0
2022-01-23,South America,DevTools,Direct Sales,Business,5416.0,6.0,899.0,Yes,32496.0
2022-01-24,North America,Database,Online,Business,7305.0,8.0,1112.0,Yes,58440.0
